BOROUGH,Zip Code,MonthYear,Evictions
BRONX,10456,2017-06,46
BRONX,10456,2017-07,37
BRONX,10456,2017-08,43
BRONX,10456,2017-09,39
BRONX,10456,2017-10,53
BRONX,10456,2017-11,50
BRONX,10456,2017-12,52
BRONX,10456,2018-01,56
BRONX,10456,2018-02,59
BRONX,10456,2018-03,41
BRONX,10456,2018-04,43
BRONX,10456,2018-05,51
BRONX,10456,2018-06,42
BRONX,10456,2018-07,43
BRONX,10456,2018-08,55
BRONX,10456,2018-09,54
BRONX,10456,2018-10,36
BRONX,10456,2018-11,43
BRONX,10456,2018-12,35
BRONX,10456,2019-01,54
BRONX,10456,2019-02,37
BRONX,10456,2019-03,48
BRONX,10456,2019-04,44
BRONX,10456,2019-05,49
BRONX,10456,2019-06,49
BRONX,10456,2019-07,46
BRONX,10456,2019-08,46
BRONX,10456,2019-09,40
BRONX,10456,2019-10,46
BRONX,10456,2019-11,29
BRONX,10456,2019-12,27
BRONX,10457,2017-01,54
BRONX,10457,2017-02,43
BRONX,10457,2017-03,38
BRONX,10457,2017-04,49
BRONX,10457,2017-05,55
BRONX,10457,2017-06,46
BRONX,10457,2017-07,30
BRONX,10457,2017-08,42
BRONX,10457,2017-09,42
BRONX,10457,2017-10,42
BRONX,10457,2017-11,53
BRONX,10457,2017-12,32
BRONX,10457,2018-01,53
BRONX,10457,2018-02,42
BRONX,10457,2018-03,41
BRONX,10457,2018-04,54
BRONX,10457,2018-05,38
BRONX,10457,2018-06,45
BRONX,10457,2018-07,34
BRONX,10457,2018-08,48
BRONX,10457,2018-09,22
BRONX,10457,2018-10,24
BRONX,10457,2018-11,22
BRONX,10457,2018-12,20
BRONX,10457,2019-01,40
BRONX,10457,2019-02,32
BRONX,10457,2019-03,39
BRONX,10457,2019-04,29
BRONX,10457,2019-05,30
BRONX,10457,2019-06,20
BRONX,10457,2019-07,31
BRONX,10457,2019-08,36
BRONX,10457,2019-09,37
BRONX,10457,2019-10,21
BRONX,10457,2019-11,19
BRONX,10457,2019-12,28
BRONX,10458,2017-01,67
BRONX,10458,2017-02,49
BRONX,10458,2017-03,54
BRONX,10458,2017-04,54
BRONX,10458,2017-05,59
BRONX,10458,2017-06,63
BRONX,10458,2017-07,41
BRONX,10458,2017-08,55
BRONX,10458,2017-09,59
BRONX,10458,2017-10,70
BRONX,10458,2017-11,58
BRONX,10458,2017-12,41
BRONX,10458,2018-01,79
BRONX,10458,2018-02,44
BRONX,10458,2018-03,33
BRONX,10458,2018-04,46
BRONX,10458,2018-05,60
BRONX,10458,2018-06,45
BRONX,10458,2018-07,52
BRONX,10458,2018-08,54
BRONX,10458,2018-09,37
BRONX,10458,2018-10,33
BRONX,10458,2018-11,38
BRONX,10458,2018-12,37
BRONX,10458,2019-01,38
BRONX,10458,2019-02,34
BRONX,10458,2019-03,32
BRONX,10458,2019-04,51
BRONX,10458,2019-05,56
BRONX,10458,2019-06,35
BRONX,10458,2019-07,43
BRONX,10458,2019-08,41
BRONX,10458,2019-09,47
BRONX,10458,2019-10,26
BRONX,10458,2019-11,35
BRONX,10458,2019-12,26
BRONX,10459,2017-01,32
BRONX,10459,2017-02,19
